# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, mu_ratios, b_min_t, b_min_energy, crest_e, b_factor, b_iiii, b_iiii_crest, b_iiii_rms, crest_w, num_distinct, lambda_b, converged, time_s, peak_mem_gb, solvers, error
1, False, 120, 127, 7, 3, 152400, 11.676430359814805, 12475.193146751693, 0, 1.0007635076761938, 0/1/1/1/1/0/2/2/2/2/3/3, 1.000000/1.000764/1.000764/1.000764/1.000764/1.002181/1.003053/1.003053/1.003053/1.003053/1.006866/1.006869, 0.037558013966773614, 0.008310313984107346, 0.4703892703403999, 0.04056971344759394, 0.0405697/0.0301123/0.0301087/0.0301151/0.0301151/0.0414721/0.0269013/0.0269012/0.0268725/0.0268743, 0.0372209/0.0276268/0.0276266/0.0276264/0.0276263/0.0380836/0.0246462/0.0246451/0.0246465/0.0246457, 1.78241/2.66798/2.66798/2.65314/2.65314/1.8204/2.48732/2.48732/2.54266/2.54266, 1.04402/1.04402/1.04396/1.04407/1.04407/1.04354/1.04475/1.04477/1.04418/1.04423, 12, 1.0, True, 736.4300026893616, 4.618528, pardiso, 
1, True, 120, 127, 7, 3, 152400, 11.676430359814805, 8985.776469034065, 24, 1.0000000000000073, 24/24/24/24/23/23/23/23/25/25/25/22, 1.000000/1.000000/1.000000/1.000000/1.001418/1.001418/1.001418/1.001418/1.002854/1.002854/1.002854/1.007251, -0.17326372557132738, -0.5447481586545289, 1.7731442220931684, -0.2878767959880085, -0.287877/-0.263464/-0.263647/-0.285485/-0.292642/-0.292642/-0.292758/-0.292758/-0.215167/-0.215167, -0.23587/-0.23587/-0.23587/-0.23587/-0.261588/-0.261588/-0.261588/-0.261588/-0.192548/-0.192548, -23.5211/-23.5211/-23.5211/-23.5211/-26.2797/-26.2797/-26.2797/-26.2797/-16.9287/-16.9287, 1.10476/1.05688/1.05724/1.10016/1.05769/1.05769/1.05790/1.05790/1.05710/1.05710, 12, 3.566010344046425, True, 1166.3055124282837, 5.426472, pardiso, 
1, False, 160, 127, 7, 2, 203200, 11.676430359814805, 12475.193146751266, 0, 1.0007668717030065, 0/1/1/1/1/0/2/2/2/2/3/3, 1.000000/1.000767/1.000767/1.000768/1.000768/1.002181/1.003067/1.003067/1.003067/1.003067/1.006899/1.006902, 0.03755801373328251, 0.008310313984413007, 0.4703892718112114, 0.04056971344622569, 0.0405697/0.0298424/0.0298424/0.0298339/0.0298388/0.0414721/0.0259303/0.0259291/0.0259203/0.0259215, 0.0372209/0.0273745/0.0273691/0.027375/0.0273744/0.0380836/0.0237553/0.0237503/0.0237564/0.0237526, 1.78241/2.65095/2.65095/2.66577/2.66577/1.8204/3.87647/3.87647/3.93304/3.93304, 1.04402/1.04410/1.04421/1.04395/1.04404/1.04354/1.04478/1.04486/1.04455/1.04466, 12, 1.0, True, 977.442661523819, 6.157616, pardiso, 
1, True, 160, 127, 7, 2, 203200, 11.676430359814805, 8961.54846287529, 24, 1.0000000000000073, 24/24/24/24/25/25/25/25/23/23/23/26, 1.000000/1.000000/1.000000/1.000000/1.002006/1.002006/1.002006/1.002006/1.002242/1.002242/1.002242/1.008001, -0.17917737420747498, -0.5503980855793454, 1.7526567645944349, -0.2710596970505932, -0.27106/-0.27106/-0.268184/-0.268184/-0.264404/-0.264404/-0.264469/-0.264469/-0.261852/-0.261852, -0.239902/-0.239902/-0.239902/-0.239902/-0.236102/-0.236102/-0.236102/-0.236102/-0.233928/-0.233928, -22.6245/-22.6245/-22.6245/-22.6245/-24.6967/-24.6967/-24.6967/-24.6967/-17.8947/-17.8947, 1.06296/1.06296/1.05730/1.05730/1.05824/1.05824/1.05837/1.05837/1.05800/1.05800, 11, 3.5575865982842303, True, 1770.997862815857, 7.089444, pardiso, 
1, False, 200, 127, 7, 2, 254000, 11.676430359814805, 12475.193146750453, 0, 1.0007687224392838, 0/1/1/1/1/0/2/2/2/2/3/3, 1.000000/1.000769/1.000769/1.000770/1.000770/1.002181/1.003075/1.003075/1.003075/1.003075/1.006917/1.006920, 0.03755801374182642, 0.008310313985462196, 0.47038927178740164, 0.04056971345399049, 0.0405697/0.0300951/0.0300951/0.0300949/0.0300922/0.0414721/0.0243086/0.024308/0.0243068/0.0243081, 0.0372209/0.0276073/0.027607/0.0276077/0.0276076/0.0380836/0.0222898/0.0222858/0.0222907/0.0222905, 1.78241/2.64909/2.64909/2.6639/2.6639/1.8204/3.20985/3.20985/3.26956/3.26956, 1.04402/1.04408/1.04409/1.04407/1.04403/1.04354/1.04431/1.04438/1.04424/1.04428, 12, 1.0, True, 1127.2316477298737, 7.70978, pardiso, 
1, True, 200, 127, 7, 2, 254000, 11.676430359814805, 8954.200142120875, 24, 1.0000000000000087, 24/24/24/24/25/25/25/25/23/23/23/26, 1.000000/1.000000/1.000000/1.000000/1.001813/1.001813/1.001813/1.001813/1.002439/1.002439/1.002439/1.007621, -0.19099496634296959, -0.633513729620298, 1.821239474700879, -0.2765037526709758, -0.276504/-0.275689/-0.275902/-0.275989/-0.277611/-0.277611/-0.248279/-0.248279/-0.312863/-0.312863, -0.246592/-0.246592/-0.246592/-0.246592/-0.220608/-0.220608/-0.220608/-0.220608/-0.27929/-0.27929, -23.6082/-23.6082/-23.6082/-23.6082/-20.9164/-20.9164/-20.9164/-20.9164/-27.7715/-27.7715, 1.05892/1.05735/1.05776/1.05793/1.12178/1.12178/1.06086/1.06086/1.05840/1.05840, 12, 3.5549957870292297, True, 2063.330826282501, 8.841992, pardiso, 
6, False, 80, 41, 6, 2, 32800, 30.00000000000003, 4921.055047756474, 25, 1.0000000018825228, 25/25/25/25/24/24/24/24/26/26/26/23, 1.000000/1.000000/1.000000/1.000000/1.002293/1.002293/1.002293/1.002293/1.003305/1.003305/1.003305/1.010387, -1.7408652443555366, -84.32168321625122, 6.959644497993557, -1.9523372032834967, -1.95234/-1.95234/-1.97395/-1.97395/-0.807578/-0.85847/-0.83165/-0.818913/-5.11101/-5.11101, -1.84023/-1.84023/-1.84023/-1.84023/-0.765437/-0.765437/-0.765437/-0.765437/-4.86836/-4.86836, -63.8506/-63.8506/-63.8506/-63.8506/-37.721/-37.721/-37.721/-37.721/-231.31/-231.31, 1.03001/1.03001/1.03570/1.03570/1.02716/1.05903/1.04235/1.03434/1.02462/1.02462, 12, 1.0, True, 121.04709124565125, 1.024136, pardiso, 
6, True, 80, 41, 6, 2, 32800, 30.00000000000003, 5172.305512681007, 27, 1.0004539850955207, 27/27/28/28/27/27/28/28/28/28/27/26, 1.000000/1.000000/1.000454/1.000454/1.000773/1.000773/1.000897/1.000897/1.001319/1.001319/1.001526/1.004942, -0.4224103787836941, -29.054067035890284, 8.293468068900623, -0.5362062911839821, -0.536206/-0.536201/-0.448511/-0.448507/-0.721237/-0.721237/-0.612862/-0.612862/-0.455831/-0.455826, -0.536206/-0.536206/-0.448511/-0.448511/-0.7208/-0.7208/-0.602931/-0.602931/-0.455831/-0.455831, -14.7977/-14.7977/-12.9207/-12.9207/-19.6926/-19.6926/-17.0097/-17.0097/-12.5868/-12.5868, 1.00000/1.00000/1.00000/1.00000/1.00030/1.00030/1.00820/1.00820/1.00000/1.00000, 12, 2.052347552853614, True, 245.19514417648315, 1.211792, pardiso, 
6, False, 120, 65, 9, 2, 78000, 18.750000000000043, 5449.1295215562295, 24, 1.0000558522031615, 24/24/24/24/23/23/24/24/23/23/23/25, 1.000000/1.000000/1.000056/1.000056/1.000083/1.000083/1.000112/1.000112/1.000142/1.000142/1.000203/1.000842, -0.03728217381160618, -0.5921298366819223, 3.9852710022806566, 0.01650217035543713, 0.0165022/0.0182412/-0.0073547/-0.0075223/0.022264/0.0222614/0.0165781/0.0183251/0.00139964/0.00139964, 0.0165022/0.0165022/-0.00724681/-0.00724681/0.022264/0.022264/0.0165781/0.0165781/0.00139945/0.00139945, 0.472076/0.472076/-0.207528/-0.207528/0.628795/0.628795/0.475281/0.475281/0.0396932/0.0396932, 1.00000/1.05137/1.00742/1.01883/1.00000/0.99994/1.00000/1.05137/1.00007/1.00007, 12, 1.0, True, 337.67436599731445, 2.46782, pardiso, 
6, True, 120, 65, 9, 2, 78000, 18.750000000000043, 4559.393857157804, 29, 1.0000000000367784, 29/29/29/29/30/30/30/30/28/28/28/31, 1.000000/1.000000/1.000000/1.000000/1.000571/1.000571/1.000571/1.000571/1.003302/1.003302/1.003302/1.004961, -0.1919089987662616, -7.538909431041129, 6.267676795304443, -0.2536122151263227, -0.253612/-0.253612/-0.253615/-0.253615/-0.243827/-0.243827/-0.264672/-0.264672/-0.260357/-0.260409, -0.246958/-0.246958/-0.246958/-0.246958/-0.219532/-0.219532/-0.221791/-0.221791/-0.252965/-0.252965, -19.0781/-19.0781/-19.0781/-19.0781/-9.52316/-9.52316/-9.62116/-9.62116/-19.3516/-19.3516, 1.01338/1.01338/1.01339/1.01339/1.05388/1.05388/1.09240/1.09240/1.01451/1.01461, 12, 1.8082555004406586, True, 570.8121287822723, 2.778524, pardiso, 
6, False, 160, 81, 11, 2, 129600, 15.000000000000124, 5292.509676371475, 25, 1.0000426669066456, 25/25/25/25/25/25/26/26/26/26/24/25, 1.000000/1.000000/1.000043/1.000043/1.000086/1.000086/1.000402/1.000402/1.000436/1.000436/1.000466/1.000000, -0.04858576053096322, -0.8025126673297172, 4.064166067325491, 0.01979688067018886, 0.0197969/0.0197944/-0.00779485/-0.00779485/0.0197151/0.0197126/0.0154611/0.0154591/-0.0164505/-0.0164505, 0.0197969/0.0197969/-0.00778822/-0.00778822/0.0197151/0.0197151/0.0154611/0.0154611/-0.0164446/-0.0164447, 0.559642/0.559642/-0.220226/-0.220226/0.557659/0.557659/0.438352/0.438352/-0.466889/-0.466889, 1.00000/0.99994/1.00043/1.00043/1.00000/0.99994/1.00000/0.99994/1.00018/1.00017, 6, 1.0, True, 1363.4425015449524, 3.977176, pardiso, 
6, True, 160, 81, 11, 2, 129600, 15.000000000000124, 4558.021753122265, 30, 1.0000000000147256, 30/30/30/30/29/29/29/29/31/31/31/28, 1.000000/1.000000/1.000000/1.000000/1.001665/1.001665/1.001665/1.001665/1.001922/1.001922/1.001922/1.006926, -0.21887969664239848, -7.759950961838668, 5.954245667525381, -0.27503723492967874, -0.275037/-0.275037/-0.283618/-0.283618/-0.291389/-0.291389/-0.29131/-0.29131/-0.269226/-0.269226, -0.258684/-0.258684/-0.258684/-0.258684/-0.273626/-0.273626/-0.273626/-0.273626/-0.25345/-0.25345, -14.3691/-14.3691/-14.3691/-14.3691/-17.0326/-17.0326/-17.0326/-17.0326/-14.1783/-14.1783, 1.03112/1.03112/1.04709/1.04709/1.03195/1.03195/1.03181/1.03181/1.03065/1.03065, 12, 1.804657170484056, True, 1380.1018650531769, 4.492912, pardiso, 
6, False, 200, 97, 13, 2, 194000, 12.500000000000178, 5236.771231016543, 26, 1.0000326467139395, 26/26/26/26/25/25/26/26/25/25/25/27, 1.000000/1.000000/1.000033/1.000033/1.000051/1.000051/1.000065/1.000065/1.000092/1.000092/1.000133/1.000852, -0.05335022560027093, -0.8603981640396258, 4.0158881405863145, 0.015676574749574946, 0.0156766/0.0156745/-0.0171009/-0.0171009/0.0200504/0.0200478/0.0148884/0.0148865/-0.00853606/-0.00853606, 0.0156766/0.0156766/-0.0170923/-0.0170923/0.0200504/0.0200504/0.0148884/0.0148884/-0.00832441/-0.00832441, 0.442227/0.442227/-0.482776/-0.482776/0.563726/0.563726/0.421074/0.421074/-0.234087/-0.234087, 1.00000/0.99994/1.00025/1.00025/1.00000/0.99993/1.00000/0.99994/1.01263/1.01263, 12, 1.0, True, 988.4196953773499, 6.054796, pardiso, 
6, True, 200, 97, 13, 2, 194000, 12.500000000000178, 4534.669735979866, 30, 1.0000000000163034, 30/30/30/30/31/31/31/31/29/29/29/32, 1.000000/1.000000/1.000000/1.000000/1.001319/1.001319/1.001319/1.001319/1.002225/1.002225/1.002225/1.006098, -0.22388554632811808, -8.214698858558965, 6.057351767191203, -0.33007862078852185, -0.330079/-0.330079/-0.330691/-0.330691/-0.292555/-0.292555/-0.292561/-0.292561/-0.282996/-0.282996, -0.32066/-0.32066/-0.32066/-0.32066/-0.284689/-0.284689/-0.284689/-0.284689/-0.275806/-0.275806, -25.379/-25.379/-25.379/-25.379/-12.674/-12.674/-12.674/-12.674/-17.1623/-17.1623, 1.01458/1.01458/1.01552/1.01552/1.01372/1.01372/1.01373/1.01373/1.01295/1.01295, 12, 1.796539322843889, True, 2457.857429265976, 6.73774, pardiso, 
