# case, NLprebuck, ny, nx, nxt, max_ny_nx_aspect_ratio, DOF, dx_max_mm, Pcr, n, mu1_ratio, modes_n, mu_ratios, b_factor, b_iiii, num_distinct, lambda_b, converged, time_s, peak_mem_gb, solvers, error
1, False, 200, 127, 7, 2, 254000, 11.676430359814805, 12475.193146750453, 0, 1.0007687224392838, 0/1/1/0/2/2/3/3/4/4/5/5, 1.000000/1.000769/1.000770/1.002181/1.003075/1.003075/1.006917/1.006920/1.012297/1.012313/1.019223/1.019261, 0.04056971345399438, 0.0405697/0.0276331/0.027432/0.0414721/0.0243086, 12, 1.0, True, 431.2856192588806, 6.80208, pardiso, 
1, True, 200, 127, 7, 2, 254000, 11.676430359814805, 8954.200142120875, 24, 1.0000000000000087, 24/24/25/25/23/23/26/26/22/22/27/27, 1.000000/1.000000/1.001813/1.001813/1.002439/1.002439/1.007621/1.007621/1.009247/1.009247/1.017088/1.017088, -0.2765037526709815, -0.276504/-0.276423/-0.277611/-0.251988/-0.312863, 12, 3.5549957870292297, True, 1262.8800654411316, 7.93746, pardiso, 
6, False, 80, 41, 6, 2, 32800, 30.00000000000003, 4921.055047756474, 25, 1.0000000018825228, 25/25/24/24/26/26/23/23/27/27/22/22, 1.000000/1.000000/1.002293/1.002293/1.003305/1.003305/1.010387/1.010387/1.011971/1.011971/1.024443/1.024443, -1.95233720328367, -1.95234/-1.97395/-0.807578/-0.83165/-5.11101, 12, 1.0, True, 236.91915035247803, 0.910352, pardiso, 
6, True, 80, 41, 6, 2, 32800, 30.00000000000003, 5172.305512681007, 27, 1.0004539850955207, 27/28/27/28/28/27/26/29/26/29/29/26, 1.000000/1.000454/1.000773/1.000897/1.001319/1.001526/1.004942/1.006083/1.006132/1.006329/1.006554/1.007300, -0.5362062911839948, -0.536206/-0.448511/-0.721237/-0.612862/-0.455831, 12, 2.052347552853614, True, 159.99646425247192, 1.17116, pardiso, 
6, False, 120, 65, 9, 2, 78000, 18.750000000000043, 5449.1295215562295, 24, 1.0000558522031615, 24/24/23/24/23/23/25/25/25/22/22/22, 1.000000/1.000056/1.000083/1.000112/1.000142/1.000203/1.000842/1.000890/1.000938/1.000991/1.001052/1.001112, 0.01650217035531265, 0.0165022/-0.0073547/0.022264/0.0165781/0.00139964, 12, 1.0, True, 169.0972785949707, 2.37686, pardiso, 
DOE09_conv_00006_ny120_NL_k5.out, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
6, False, 160, 81, 11, 2, 129600, 15.000000000000124, 5292.509676371475, 25, 1.0000426669066456, 25/25/25/26/26/24/25/25/25/26/26/24, 1.000000/1.000043/1.000086/1.000402/1.000436/1.000466/1.000000/1.000043/1.000086/1.000402/1.000436/1.000466, 0.019796880670200603, 0.0197969/-0.00779485/0.0197151/0.0154611/-0.0164505, 6, 1.0, True, 966.227545261383, 3.6731, pardiso, 
6, True, 160, 81, 11, 2, 129600, 15.000000000000124, 4558.021753122265, 30, 1.0000000000147256, 30/30/29/29/31/31/28/28/32/32/27/27, 1.000000/1.000000/1.001665/1.001665/1.001922/1.001922/1.006926/1.006926/1.007347/1.007347/1.015675/1.015675, -0.2750372349296756, -0.275037/-0.283611/-0.291389/-0.291309/-0.269226, 12, 1.804657170484056, True, 981.5215499401093, 4.058836, pardiso, 
6, False, 200, 97, 13, 2, 194000, 12.500000000000178, 5236.771231016543, 26, 1.0000326467139395, 26/26/25/26/25/25/27/27/27/24/24/24, 1.000000/1.000033/1.000051/1.000065/1.000092/1.000133/1.000852/1.000878/1.000904/1.000924/1.000972/1.001021, 0.01567657474961956, 0.0156766/-0.0171009/0.0200504/0.0148884/-0.00853606, 12, 1.0, True, 456.1486053466797, 6.002144, pardiso, 
6, True, 200, 97, 13, 2, 194000, 12.500000000000178, 4534.669735979866, 30, 1.0000000000163034, 30/30/31/31/29/29/32/32/28/28/33/33, 1.000000/1.000000/1.001319/1.001319/1.002225/1.002225/1.006098/1.006098/1.007999/1.007999/1.014201/1.014201, -0.3300786207883637, -0.330079/-0.330692/-0.292555/-0.292471/-0.282996, 12, 1.796539322843889, True, 1905.2184309959412, 6.030112, pardiso, 
